transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-100048,CUST-1058,49,Credit,Transfer,Groceries,166.76,13580.74,13413.98,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100095,CUST-1047,47,Credit,Transfer,Groceries,164.86,10483.02,10318.16,10,New York,Mobile App,UPI / Wallet,0,0
TXN-100056,CUST-1334,40,Credit,Payment,Groceries,151.65,8381.55,8229.9,10,New York,Mobile App,Debit Card,0,0
TXN-100005,CUST-1338,53,Credit,Transfer,Retail,107.04,15532.9,15425.86,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100093,CUST-1127,43,Checking,Payment,Groceries,97.33,9816.78,9719.45,9,New York,Mobile App,Debit Card,0,0
TXN-100072,CUST-1173,44,Credit,Payment,Groceries,117.28,10603.63,10486.35,12,New York,Mobile App,Debit Card,0,0
TXN-100073,CUST-1348,50,Credit,Transfer,Retail,162.41,13773.82,13611.41,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100079,CUST-1478,45,Credit,Transfer,Retail,224.13,12745.91,12521.78,13,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100083,CUST-1379,44,Credit,Transfer,Groceries,118.16,11343.76,11225.6,11,New York,Mobile App,Debit Card,0,0
TXN-100051,CUST-1222,43,Credit,Payment,Groceries,576.4,10435.89,9859.49,11,New York,Mobile App,Debit Card,1,1
TXN-100010,CUST-1187,44,Credit,Transfer,Groceries,136.61,11936.29,11799.68,11,New York,Mobile App,Debit Card,0,0
TXN-100055,CUST-1170,46,Credit,Transfer,Groceries,180.73,13598.78,13418.05,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100043,CUST-1302,45,Credit,Transfer,Retail,173.04,11842.67,11669.63,12,New York,Mobile App,Debit Card,0,0
TXN-100042,CUST-1474,44,Credit,Payment,Groceries,137.8,11024.52,10886.72,11,New York,Mobile App,Debit Card,0,0
TXN-100063,CUST-1209,44,Credit,Payment,Groceries,162.48,10095.71,9933.23,12,New York,Mobile App,Debit Card,0,0
TXN-100060,CUST-1439,49,Credit,Transfer,Retail,626.78,15439.78,14813.0,13,New York,POS Terminal,UPI / Wallet,1,1
TXN-100046,CUST-1255,50,Savings,Transfer,Retail,159.35,14461.7,14302.35,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-100068,CUST-1124,42,Credit,Transfer,Groceries,162.82,11712.06,11549.24,10,New York,Mobile App,Debit Card,0,0
TXN-100070,CUST-1457,44,Credit,Payment,Groceries,187.09,12043.33,11856.24,10,New York,Mobile App,Debit Card,0,0
TXN-100088,CUST-1395,48,Credit,Transfer,Groceries,104.71,12068.46,11963.75,10,New York,Mobile App,Debit Card,0,0
TXN-100019,CUST-1199,51,Credit,Transfer,Retail,122.01,15873.54,15751.53,14,New York,POS Terminal,UPI / Wallet,0,0
TXN-100094,CUST-1016,50,Credit,Transfer,Retail,106.74,13861.97,13755.23,10,New York,POS Terminal,UPI / Wallet,0,0
TXN-100076,CUST-1007,42,Checking,Payment,Groceries,119.49,10754.35,10634.86,9,Mumbai,Mobile App,Debit Card,0,0
TXN-100085,CUST-1474,47,Credit,Payment,Groceries,176.82,13027.7,12850.88,12,New York,POS Terminal,Debit Card,0,0
TXN-100089,CUST-1379,43,Checking,Payment,Groceries,113.71,9743.86,9630.15,9,Mumbai,Mobile App,Debit Card,0,0
TXN-100039,CUST-1003,47,Credit,Transfer,Retail,180.28,12303.8,12123.52,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-100011,CUST-1400,46,Credit,Payment,Groceries,115.14,13283.29,13168.15,14,New York,Mobile App,Debit Card,0,0
TXN-100021,CUST-1061,40,Checking,Payment,Groceries,159.26,9019.9,9010.64,10,New York,Mobile App,Debit Card,0,0
TXN-100074,CUST-1390,48,Credit,Transfer,Retail,606.75,12735.6,12128.85,12,New York,Mobile App,UPI / Wallet,1,1
TXN-100054,CUST-1089,43,Credit,Transfer,Groceries,113.39,11977.47,11864.08,12,New York,Mobile App,Debit Card,0,0
TXN-100053,CUST-1139,45,Credit,Payment,Groceries,140.33,12122.26,11981.93,9,New York,Mobile App,UPI / Wallet,0,0
TXN-100065,CUST-1330,49,Credit,Transfer,Retail,143.94,15182.04,15038.1,13,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100057,CUST-1105,45,Credit,Transfer,Groceries,108.17,12062.48,11954.31,11,New York,Mobile App,Debit Card,0,0
TXN-100012,CUST-1056,44,Credit,Transfer,Retail,118.47,12769.98,12651.51,10,New York,Mobile App,UPI / Wallet,0,0
TXN-100029,CUST-1350,42,Credit,Payment,Groceries,127.1,10421.5,10294.4,10,New York,Mobile App,Debit Card,0,0
TXN-100020,CUST-1364,47,Credit,Transfer,Retail,700.48,13144.77,12444.29,11,New York,POS Terminal,UPI / Wallet,1,1
TXN-100006,CUST-1079,43,Credit,Transfer,Groceries,141.43,11646.37,11504.94,13,New York,Mobile App,Debit Card,0,0
TXN-100078,CUST-1002,47,Credit,Transfer,Groceries,153.64,12341.68,12188.04,12,New York,Mobile App,UPI / Wallet,0,0
TXN-100015,CUST-1143,43,Credit,Payment,Groceries,129.68,9770.69,9641.01,11,Mumbai,Mobile App,Debit Card,0,0
TXN-100022,CUST-1484,47,Credit,Payment,Groceries,137.56,12280.54,12142.98,10,New York,POS Terminal,Debit Card,0,0
TXN-100016,CUST-1284,48,Credit,Transfer,Retail,124.68,15411.59,15286.91,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100069,CUST-1075,46,Credit,Payment,Groceries,104.76,10970.91,10866.15,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100086,CUST-1045,46,Credit,Transfer,Groceries,737.2,10902.41,10165.21,11,New York,Mobile App,Debit Card,1,1
TXN-100052,CUST-1325,52,Credit,Transfer,Retail,142.9,13667.01,13524.11,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100077,CUST-1041,52,Credit,Transfer,Retail,104.73,14822.87,14718.14,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-100000,CUST-1131,49,Credit,Transfer,Groceries,138.32,11027.18,10888.86,10,New York,POS Terminal,Debit Card,0,0
TXN-100041,CUST-1377,45,Credit,Transfer,Groceries,164.55,12642.23,12477.68,11,New York,Mobile App,Debit Card,0,0
TXN-100004,CUST-1307,46,Credit,Payment,Groceries,171.11,13059.72,12888.61,13,New York,POS Terminal,Debit Card,0,0
TXN-100017,CUST-1273,43,Credit,Transfer,Groceries,167.02,11100.94,10933.92,10,New York,Mobile App,UPI / Wallet,0,0
TXN-100045,CUST-1087,51,Credit,Transfer,Retail,112.29,13871.59,13759.3,14,New York,POS Terminal,UPI / Wallet,0,0
