age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
27,Savings,Deposit,Utilities,93.34,23909.71,23816.37,0,New York,POS Terminal,Debit Card,0,0,TXN_100015,CUST_10015
66,Checking,Payment,Retail,279.11,5081.29,4802.18,2,London,ATM,Debit Card,0,1,TXN_100496,CUST_10496
46,Savings,Payment,Electronics,11.71,17598.27,17586.56,5,Tokyo,POS Terminal,Wire Transfer,0,0,TXN_100211,CUST_10211
49,Checking,Transfer,Entertainment,6.25,23708.51,23702.26,20,Mumbai,Mobile App,Credit Card,0,0,TXN_100475,CUST_10475
56,Savings,Payment,Entertainment,3.2,23015.2,23012.0,17,Tokyo,POS Terminal,Debit Card,0,0,TXN_100066,CUST_10066
18,Business,Payment,Entertainment,14.15,20401.14,20386.99,13,Singapore,Mobile App,Debit Card,0,0,TXN_100038,CUST_10038
30,Savings,Payment,Entertainment,17.59,21572.69,21555.1,23,London,POS Terminal,Credit Card,0,0,TXN_100244,CUST_10244
20,Checking,Transfer,Groceries,7.96,19038.09,19030.13,19,Mumbai,ATM,UPI / Wallet,0,0,TXN_100290,CUST_10290
24,Credit,Payment,Retail,11.79,25485.38,25473.59,13,Toronto,POS Terminal,Debit Card,0,1,TXN_100449,CUST_10449
55,Credit,Payment,Entertainment,103.17,24051.35,23948.18,6,London,Mobile App,Credit Card,1,0,TXN_100111,CUST_10111
49,Checking,Transfer,Entertainment,414.15,24769.96,24355.81,7,Toronto,Web Browser,Debit Card,0,1,TXN_100176,CUST_10176
24,Checking,Payment,Retail,0.83,28036.56,28035.73,8,Tokyo,Mobile App,Credit Card,0,0,TXN_100352,CUST_10352
18,Checking,Transfer,Electronics,200.57,8032.18,7831.61,21,Tokyo,ATM,Debit Card,0,0,TXN_100073,CUST_10073
21,Savings,Transfer,Retail,10.85,15732.58,15721.73,2,London,Mobile App,UPI / Wallet,0,0,TXN_100463,CUST_10463
34,Business,Transfer,Groceries,84.26,21232.27,21148.01,6,London,Mobile App,Debit Card,0,0,TXN_100281,CUST_10281
