age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
45,Checking,Transfer,Groceries,206.82,6316.64,6109.82,9,Mumbai,POS Terminal,Debit Card,0,0,TXN_100176,CUST_10176
23,Credit,Transfer,Electronics,66.48,23771.86,23705.38,14,Berlin,Mobile App,Wire Transfer,0,0,TXN_100446,CUST_10446
18,Savings,Transfer,Electronics,563.87,19940.3,19376.43,23,Tokyo,Web Browser,UPI / Wallet,0,0,TXN_100338,CUST_10338
25,Savings,Deposit,Utilities,24.74,5627.26,5602.52,23,Singapore,ATM,Debit Card,0,0,TXN_100674,CUST_10674
18,Savings,Payment,Travel,133.04,7952.34,7819.3,14,Mumbai,POS Terminal,Wire Transfer,0,0,TXN_100802,CUST_10802
71,Savings,Payment,Groceries,34.07,1296.55,1262.48,15,New York,ATM,UPI / Wallet,0,0,TXN_100246,CUST_10246
45,Checking,Payment,Electronics,12.65,9121.22,9108.57,2,Berlin,Web Browser,Wire Transfer,0,0,TXN_100980,CUST_10980
40,Savings,Transfer,Electronics,134.26,1543.53,1409.27,1,Berlin,Web Browser,Debit Card,0,0,TXN_100578,CUST_10578
18,Savings,Transfer,Travel,30.71,17187.5,17156.79,2,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100033,CUST_10033
28,Checking,Transfer,Entertainment,83.92,16567.5,16483.58,13,Mumbai,ATM,Debit Card,0,0,TXN_100970,CUST_10970
55,Checking,Deposit,Travel,28.77,1024.28,995.51,11,Berlin,POS Terminal,Wire Transfer,0,0,TXN_100433,CUST_10433
18,Savings,Transfer,Groceries,24.26,20128.98,20104.72,3,Tokyo,Web Browser,Credit Card,0,1,TXN_100425,CUST_10425
27,Credit,Withdrawal,Groceries,288.98,20870.51,20581.53,0,Berlin,POS Terminal,Debit Card,1,0,TXN_100740,CUST_10740
60,Business,Transfer,Travel,32.89,1521.88,1488.99,19,London,Web Browser,Credit Card,0,0,TXN_100827,CUST_10827
26,Savings,Withdrawal,Groceries,18.24,22469.99,22451.75,1,Toronto,Web Browser,Wire Transfer,0,0,TXN_100465,CUST_10465
20,Savings,Payment,Retail,84.39,17.43,0.0,5,Singapore,POS Terminal,Wire Transfer,0,0,TXN_100512,CUST_10512
58,Savings,Transfer,Entertainment,514.23,5126.73,4612.5,16,Singapore,POS Terminal,Credit Card,0,0,TXN_100838,CUST_10838
18,Savings,Transfer,Electronics,88.95,20188.71,20099.76,0,Singapore,Mobile App,Wire Transfer,1,0,TXN_100185,CUST_10185
71,Checking,Transfer,Electronics,53.96,14382.88,14328.92,8,Singapore,ATM,Debit Card,0,0,TXN_100422,CUST_10422
19,Business,Payment,Retail,25.56,4865.04,4839.48,12,Singapore,Mobile App,Debit Card,1,0,TXN_100434,CUST_10434
18,Checking,Transfer,Entertainment,40.32,19714.24,19673.92,0,London,Web Browser,Credit Card,0,0,TXN_100365,CUST_10365
61,Checking,Transfer,Utilities,16.12,1976.51,1960.39,5,Toronto,Mobile App,Debit Card,0,0,TXN_100570,CUST_10570
44,Savings,Payment,Entertainment,78.09,14860.93,14782.84,21,Toronto,Web Browser,Credit Card,0,0,TXN_100143,CUST_10143
18,Checking,Transfer,Groceries,178.94,419.11,240.17,10,London,Web Browser,Wire Transfer,0,0,TXN_100843,CUST_10843
57,Credit,Transfer,Groceries,9.5,18212.23,18202.73,17,London,ATM,Credit Card,1,0,TXN_100060,CUST_10060
38,Credit,Transfer,Retail,199.68,7820.06,7620.38,20,Mumbai,Mobile App,Credit Card,1,0,TXN_100469,CUST_10469
28,Checking,Payment,Travel,91.45,12677.5,12586.05,22,Tokyo,Web Browser,Wire Transfer,1,0,TXN_100487,CUST_10487
64,Business,Withdrawal,Travel,51.6,20017.35,20115.75,8,Mumbai,Mobile App,UPI / Wallet,0,0,TXN_100936,CUST_10936
